tomb_id,latitude_x,longitude_x,quantity,period,region,county,county_ft,latitude_y,longitude_y,period_ft,start_date,end_date,distance
154,32.9979938974444,112.545779009385,1.0,Eastern Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,後漢 ,25,220,2.15
155,35.0463584003076,112.601506456009,1.0,Eastern Han,henan,zhixian,軹縣,35.09333517,112.5971707,後漢 ,25,220,5.24
156,32.7230575659486,113.315492125131,1.0,Eastern Han,henan,biyang,沘陽 ,32.7151,113.3089,後漢 ,25,220,1.08
157,32.7230575659486,113.315492125131,1.0,Eastern Han,henan,biyang,沘陽 ,32.7151,113.3089,後漢 ,25,220,1.08
158,32.7230575659486,113.315492125131,8.0,Eastern Han,henan,biyang,沘陽 ,32.7151,113.3089,後漢 ,25,220,1.08
159,32.7230575659486,113.315492125131,3.0,Eastern Han,henan,biyang,沘陽 ,32.7151,113.3089,後漢 ,25,220,1.08
160,32.7230575659486,113.315492125131,1.0,Eastern Han,henan,biyang,沘陽 ,32.7151,113.3089,後漢 ,25,220,1.08
161,32.7230575659486,113.315492125131,1.0,Eastern Han,henan,biyang,沘陽 ,32.7151,113.3089,後漢 ,25,220,1.08
162,34.5336914056067,113.328892459254,1.0,Eastern Han,henan,mixian,密縣 ,34.4366149122707,113.507600169195,後漢 ,25,220,19.62
163,34.7260461303287,112.711858226358,1.0,Eastern Han,henan,luoyang,雒陽 ,34.7290575734777,112.653857110393,後漢 ,25,220,5.31
164,33.0298394868026,112.55064653234,1.0,Eastern Han,henan,wanxian,宛縣 ,33.0095008060053,112.527263265578,後漢 ,25,220,3.14
165,34.8069266534704,113.387727936144,1.0,Eastern Han,henan,xingyang,滎陽 ,34.83817,113.43052,後漢 ,25,220,5.23
166,34.8069266534704,113.387727936144,1.0,Eastern Han,henan,xingyang,滎陽 ,34.83817,113.43052,後漢 ,25,220,5.23
167,34.8069266534704,113.387727936144,1.0,Eastern Han,henan,xingyang,滎陽 ,34.83817,113.43052,後漢 ,25,220,5.23
168,34.8069266534704,113.387727936144,1.0,Eastern Han,henan,xingyang,滎陽 ,34.83817,113.43052,後漢 ,25,220,5.23
169,34.8069266534704,113.387727936144,1.0,Eastern Han,henan,xingyang,滎陽 ,34.83817,113.43052,後漢 ,25,220,5.23
170,34.8069266534704,113.387727936144,1.0,Eastern Han,henan,xingyang,滎陽 ,34.83817,113.43052,後漢 ,25,220,5.23
171,34.3463429081049,111.034671434698,4.0,Eastern Han,henan,hongnong,弘農 ,34.6078009827715,110.943865697399,後漢 ,25,220,30.24
